2.16.840.1.113883.2.4.3.36.77.2.2.125030;2.16.840.1.113883.2.4.3.36.77.2.1.125030
2.16.840.1.113883.2.4.3.36.77.2.2.125050;2.16.840.1.113883.2.4.3.36.77.2.1.125050
2.16.840.1.113883.2.4.3.36.77.2.2.125059;2.16.840.1.113883.2.4.3.36.77.2.1.125059
2.16.840.1.113883.2.4.3.36.77.2.2.125070;2.16.840.1.113883.2.4.3.36.77.2.1.125070
2.16.840.1.113883.2.4.3.36.77.2.2.125075;2.16.840.1.113883.2.4.3.36.77.2.1.125075
2.16.840.1.113883.2.4.3.36.77.2.2.140082;2.16.840.1.113883.2.4.3.36.77.2.1.140082
2.16.840.1.113883.2.4.3.36.77.2.2.125085;2.16.840.1.113883.2.4.3.36.77.2.1.125085
2.16.840.1.113883.2.4.3.36.77.2.2.140090;2.16.840.1.113883.2.4.3.36.77.2.1.140090
2.16.840.1.113883.2.4.3.36.77.2.2.140100;2.16.840.1.113883.2.4.3.36.77.2.1.140100
2.16.840.1.113883.2.4.3.36.77.2.2.140030;2.16.840.1.113883.2.4.3.36.77.2.1.140030
2.16.840.1.113883.2.4.3.36.77.2.2.140060;2.16.840.1.113883.2.4.3.36.77.2.1.140060
2.16.840.1.113883.2.4.3.36.77.2.2.140070;2.16.840.1.113883.2.4.3.36.77.2.1.140070
2.16.840.1.113883.2.4.3.36.77.2.2.140110;2.16.840.1.113883.2.4.3.36.77.2.1.140110
2.16.840.1.113883.2.4.3.36.77.2.2.140120;2.16.840.1.113883.2.4.3.36.77.2.1.140120
2.16.840.1.113883.2.4.3.36.77.2.2.140122;2.16.840.1.113883.2.4.3.36.77.2.1.140122
2.16.840.1.113883.2.4.3.36.77.2.2.140160;2.16.840.1.113883.2.4.3.36.77.2.1.140160
2.16.840.1.113883.2.4.3.36.77.2.2.145060;2.16.840.1.113883.2.4.3.36.77.2.1.145060
2.16.840.1.113883.2.4.3.36.77.2.2.145040;2.16.840.1.113883.2.4.3.36.77.2.1.145040
2.16.840.1.113883.2.4.3.36.77.2.2.145080;2.16.840.1.113883.2.4.3.36.77.2.1.145080
2.16.840.1.113883.2.4.3.36.77.2.2.145120;2.16.840.1.113883.2.4.3.36.77.2.1.145120
2.16.840.1.113883.2.4.3.36.77.2.2.150010;2.16.840.1.113883.2.4.3.36.77.2.1.150010
2.16.840.1.113883.2.4.3.36.77.2.2.155005;2.16.840.1.113883.2.4.3.36.77.2.1.155005
2.16.840.1.113883.2.4.3.36.77.2.2.155020;2.16.840.1.113883.2.4.3.36.77.2.1.155020
2.16.840.1.113883.2.4.3.36.77.2.2.155030;2.16.840.1.113883.2.4.3.36.77.2.1.155030
2.16.840.1.113883.2.4.3.36.77.2.2.155040;2.16.840.1.113883.2.4.3.36.77.2.1.155040
2.16.840.1.113883.2.4.3.36.77.2.2.155050;2.16.840.1.113883.2.4.3.36.77.2.1.155050
2.16.840.1.113883.2.4.3.36.77.2.2.155150;2.16.840.1.113883.2.4.3.36.77.2.1.155150
2.16.840.1.113883.2.4.3.36.77.2.2.145162-group;2.16.840.1.113883.2.4.3.36.77.2.1.145102-group
2.16.840.1.113883.2.4.3.36.77.2.3.125050;2.16.840.1.113883.2.4.3.36.77.2.2.125050
2.16.840.1.113883.2.4.3.36.77.2.3.140005;2.16.840.1.113883.2.4.3.36.77.2.2.140005
2.16.840.1.113883.2.4.3.36.77.2.3.140009;2.16.840.1.113883.2.4.3.36.77.2.2.140009
2.16.840.1.113883.2.4.3.36.77.2.3.140020;2.16.840.1.113883.2.4.3.36.77.2.2.140020
2.16.840.1.113883.2.4.3.36.77.2.3.140023;2.16.840.1.113883.2.4.3.36.77.2.2.140023
2.16.840.1.113883.2.4.3.36.77.2.3.140024;2.16.840.1.113883.2.4.3.36.77.2.2.140024
2.16.840.1.113883.2.4.3.36.77.2.3.140041;2.16.840.1.113883.2.4.3.36.77.2.2.140041
2.16.840.1.113883.2.4.3.36.77.2.3.140100;2.16.840.1.113883.2.4.3.36.77.2.2.140100
2.16.840.1.113883.2.4.3.36.77.2.3.140110;2.16.840.1.113883.2.4.3.36.77.2.2.140110
2.16.840.1.113883.2.4.3.36.77.2.3.140120;2.16.840.1.113883.2.4.3.36.77.2.2.140120
2.16.840.1.113883.2.4.3.36.77.2.3.140150;2.16.840.1.113883.2.4.3.36.77.2.2.140150
2.16.840.1.113883.2.4.3.36.77.2.3.140152;2.16.840.1.113883.2.4.3.36.77.2.2.140152
2.16.840.1.113883.2.4.3.36.77.2.3.140153;2.16.840.1.113883.2.4.3.36.77.2.2.140153
2.16.840.1.113883.2.4.3.36.77.2.3.155053;2.16.840.1.113883.2.4.3.36.77.2.2.155053
2.16.840.1.113883.2.4.3.36.77.2.3.155165;2.16.840.1.113883.2.4.3.36.77.2.2.155165
2.16.840.1.113883.2.4.3.36.77.2.3.145162-group;2.16.840.1.113883.2.4.3.36.77.2.2.145162-group
